"Plant Science, B.S.: 120 units"
ABM 2240
AG 4010
BIO 1150
BIO 1150L
BIO 2050
BIO 2050L
CHM 1210
CHM 1210L
CHM 1220
CHM 1220L
PLT 1000
PLT 1120
PLT 1120L
PLT 1130
PLT 1130L
PLT 2310
PLT 2310L
PLT 2320
PLT 2330
PLT 2330L
PLT 3310
PLT 3310L
PLT 3320
PLT 3320L
PLT 3630
PLT 3650
PLT 3650L
PLT 4010
PLT 4190
PLT 4190L
PLT 4280
PLT 4400
STA 1200
PLT 4410
PLT 4610
